ID;candidate_ID;skill_ID;proficiencyLevel;yearsOfExperience;isVerified;source;confidenceScore
e1b2c3d4-e5f6-7890-abcd-ef1234567801;a1b2c3d4-e5f6-7890-abcd-ef1234567801;550e8400-e29b-41d4-a716-446655440001;expert;8;true;extracted;95
e1b2c3d4-e5f6-7890-abcd-ef1234567802;a1b2c3d4-e5f6-7890-abcd-ef1234567801;550e8400-e29b-41d4-a716-446655440002;expert;6;true;extracted;92
e1b2c3d4-e5f6-7890-abcd-ef1234567803;a1b2c3d4-e5f6-7890-abcd-ef1234567801;550e8400-e29b-41d4-a716-446655440010;expert;7;true;extracted;90
e1b2c3d4-e5f6-7890-abcd-ef1234567804;a1b2c3d4-e5f6-7890-abcd-ef1234567801;550e8400-e29b-41d4-a716-446655440013;advanced;6;true;extracted;88
e1b2c3d4-e5f6-7890-abcd-ef1234567805;a1b2c3d4-e5f6-7890-abcd-ef1234567801;550e8400-e29b-41d4-a716-446655440025;advanced;5;false;extracted;85
e1b2c3d4-e5f6-7890-abcd-ef1234567806;a1b2c3d4-e5f6-7890-abcd-ef1234567802;550e8400-e29b-41d4-a716-446655440032;expert;6;true;extracted;94
e1b2c3d4-e5f6-7890-abcd-ef1234567807;a1b2c3d4-e5f6-7890-abcd-ef1234567802;550e8400-e29b-41d4-a716-446655440028;expert;5;true;extracted;91
e1b2c3d4-e5f6-7890-abcd-ef1234567808;a1b2c3d4-e5f6-7890-abcd-ef1234567802;550e8400-e29b-41d4-a716-446655440008;advanced;4;true;extracted;87
e1b2c3d4-e5f6-7890-abcd-ef1234567809;a1b2c3d4-e5f6-7890-abcd-ef1234567802;550e8400-e29b-41d4-a716-446655440018;advanced;4;false;extracted;85
e1b2c3d4-e5f6-7890-abcd-ef1234567810;a1b2c3d4-e5f6-7890-abcd-ef1234567003;550e8400-e29b-41d4-a716-446655440025;expert;10;true;extracted;98
e1b2c3d4-e5f6-7890-abcd-ef1234567811;a1b2c3d4-e5f6-7890-abcd-ef1234567803;550e8400-e29b-41d4-a716-446655440026;expert;8;true;extracted;95
e1b2c3d4-e5f6-7890-abcd-ef1234567812;a1b2c3d4-e5f6-7890-abcd-ef1234567803;550e8400-e29b-41d4-a716-446655440029;expert;7;true;extracted;92
e1b2c3d4-e5f6-7890-abcd-ef1234567813;a1b2c3d4-e5f6-7890-abcd-ef1234567803;550e8400-e29b-41d4-a716-446655440030;expert;6;true;extracted;90
e1b2c3d4-e5f6-7890-abcd-ef1234567814;a1b2c3d4-e5f6-7890-abcd-ef1234567803;550e8400-e29b-41d4-a716-446655440031;advanced;5;false;extracted;85
e1b2c3d4-e5f6-7890-abcd-ef1234567815;a1b2c3d4-e5f6-7890-abcd-ef1234567804;550e8400-e29b-41d4-a716-446655440010;advanced;4;true;extracted;88
e1b2c3d4-e5f6-7890-abcd-ef1234567816;a1b2c3d4-e5f6-7890-abcd-ef1234567804;550e8400-e29b-41d4-a716-446655440019;intermediate;3;true;extracted;82
e1b2c3d4-e5f6-7890-abcd-ef1234567817;a1b2c3d4-e5f6-7890-abcd-ef1234567804;550e8400-e29b-41d4-a716-446655440001;advanced;4;false;extracted;85
e1b2c3d4-e5f6-7890-abcd-ef1234567818;a1b2c3d4-e5f6-7890-abcd-ef1234567805;550e8400-e29b-41d4-a716-446655440003;expert;7;true;extracted;94
e1b2c3d4-e5f6-7890-abcd-ef1234567819;a1b2c3d4-e5f6-7890-abcd-ef1234567805;550e8400-e29b-41d4-a716-446655440023;expert;6;true;extracted;92
e1b2c3d4-e5f6-7890-abcd-ef1234567820;a1b2c3d4-e5f6-7890-abcd-ef1234567805;550e8400-e29b-41d4-a716-446655440009;expert;7;true;extracted;90
e1b2c3d4-e5f6-7890-abcd-ef1234567821;a1b2c3d4-e5f6-7890-abcd-ef1234567806;550e8400-e29b-41d4-a716-446655440041;expert;9;true;extracted;96
e1b2c3d4-e5f6-7890-abcd-ef1234567822;a1b2c3d4-e5f6-7890-abcd-ef1234567806;550e8400-e29b-41d4-a716-446655440042;expert;8;true;extracted;94
e1b2c3d4-e5f6-7890-abcd-ef1234567823;a1b2c3d4-e5f6-7890-abcd-ef1234567806;550e8400-e29b-41d4-a716-446655440038;advanced;7;true;extracted;88
e1b2c3d4-e5f6-7890-abcd-ef1234567824;a1b2c3d4-e5f6-7890-abcd-ef1234567806;550e8400-e29b-41d4-a716-446655440037;advanced;9;false;extracted;85
e1b2c3d4-e5f6-7890-abcd-ef1234567825;a1b2c3d4-e5f6-7890-abcd-ef1234567807;550e8400-e29b-41d4-a716-446655440004;advanced;5;true;extracted;86
e1b2c3d4-e5f6-7890-abcd-ef1234567826;a1b2c3d4-e5f6-7890-abcd-ef1234567807;550e8400-e29b-41d4-a716-446655440013;intermediate;4;true;extracted;80
e1b2c3d4-e5f6-7890-abcd-ef1234567827;a1b2c3d4-e5f6-7890-abcd-ef1234567807;550e8400-e29b-41d4-a716-446655440009;advanced;5;false;extracted;82
e1b2c3d4-e5f6-7890-abcd-ef1234567828;a1b2c3d4-e5f6-7890-abcd-ef1234567808;550e8400-e29b-41d4-a716-446655440018;intermediate;3;true;extracted;84
e1b2c3d4-e5f6-7890-abcd-ef1234567829;a1b2c3d4-e5f6-7890-abcd-ef1234567808;550e8400-e29b-41d4-a716-446655440039;advanced;3;false;extracted;80
e1b2c3d4-e5f6-7890-abcd-ef1234567830;a1b2c3d4-e5f6-7890-abcd-ef1234567809;550e8400-e29b-41d4-a716-446655440030;expert;6;true;extracted;93
e1b2c3d4-e5f6-7890-abcd-ef1234567831;a1b2c3d4-e5f6-7890-abcd-ef1234567809;550e8400-e29b-41d4-a716-446655440029;expert;5;true;extracted;91
e1b2c3d4-e5f6-7890-abcd-ef1234567832;a1b2c3d4-e5f6-7890-abcd-ef1234567809;550e8400-e29b-41d4-a716-446655440031;advanced;4;true;extracted;88
e1b2c3d4-e5f6-7890-abcd-ef1234567833;a1b2c3d4-e5f6-7890-abcd-ef1234567810;550e8400-e29b-41d4-a716-446655440033;intermediate;4;true;extracted;82
e1b2c3d4-e5f6-7890-abcd-ef1234567834;a1b2c3d4-e5f6-7890-abcd-ef1234567810;550e8400-e29b-41d4-a716-446655440045;intermediate;3;false;extracted;78
e1b2c3d4-e5f6-7890-abcd-ef1234567835;a1b2c3d4-e5f6-7890-abcd-ef1234567801;550e8400-e29b-41d4-a716-446655440017;advanced;3;true;extracted;85
e1b2c3d4-e5f6-7890-abcd-ef1234567836;a1b2c3d4-e5f6-7890-abcd-ef1234567802;550e8400-e29b-41d4-a716-446655440017;expert;5;true;extracted;92
e1b2c3d4-e5f6-7890-abcd-ef1234567837;a1b2c3d4-e5f6-7890-abcd-ef1234567803;550e8400-e29b-41d4-a716-446655440017;intermediate;2;false;extracted;75
e1b2c3d4-e5f6-7890-abcd-ef1234567838;a1b2c3d4-e5f6-7890-abcd-ef1234567805;550e8400-e29b-41d4-a716-446655440044;advanced;4;true;extracted;86
e1b2c3d4-e5f6-7890-abcd-ef1234567839;a1b2c3d4-e5f6-7890-abcd-ef1234567801;550e8400-e29b-41d4-a716-446655440009;advanced;6;true;extracted;88
e1b2c3d4-e5f6-7890-abcd-ef1234567840;a1b2c3d4-e5f6-7890-abcd-ef1234567802;550e8400-e29b-41d4-a716-446655440009;advanced;5;true;extracted;85
