ID;jobPosting_ID;skill_ID;isRequired;minimumProficiency;weight
g1b2c3d4-e5f6-7890-abcd-ef1234567801;f1b2c3d4-e5f6-7890-abcd-ef1234567801;550e8400-e29b-41d4-a716-446655440001;true;advanced;1.0
g1b2c3d4-e5f6-7890-abcd-ef1234567802;f1b2c3d4-e5f6-7890-abcd-ef1234567801;550e8400-e29b-41d4-a716-446655440002;true;advanced;0.9
g1b2c3d4-e5f6-7890-abcd-ef1234567803;f1b2c3d4-e5f6-7890-abcd-ef1234567801;550e8400-e29b-41d4-a716-446655440010;true;advanced;0.9
g1b2c3d4-e5f6-7890-abcd-ef1234567804;f1b2c3d4-e5f6-7890-abcd-ef1234567801;550e8400-e29b-41d4-a716-446655440013;true;intermediate;0.8
g1b2c3d4-e5f6-7890-abcd-ef1234567805;f1b2c3d4-e5f6-7890-abcd-ef1234567801;550e8400-e29b-41d4-a716-446655440025;false;intermediate;0.5
g1b2c3d4-e5f6-7890-abcd-ef1234567806;f1b2c3d4-e5f6-7890-abcd-ef1234567802;550e8400-e29b-41d4-a716-446655440017;true;advanced;1.0
g1b2c3d4-e5f6-7890-abcd-ef1234567807;f1b2c3d4-e5f6-7890-abcd-ef1234567802;550e8400-e29b-41d4-a716-446655440028;true;intermediate;0.9
g1b2c3d4-e5f6-7890-abcd-ef1234567808;f1b2c3d4-e5f6-7890-abcd-ef1234567802;550e8400-e29b-41d4-a716-446655440018;true;intermediate;0.8
g1b2c3d4-e5f6-7890-abcd-ef1234567809;f1b2c3d4-e5f6-7890-abcd-ef1234567802;550e8400-e29b-41d4-a716-446655440008;false;beginner;0.6
g1b2c3d4-e5f6-7890-abcd-ef1234567810;f1b2c3d4-e5f6-7890-abcd-ef1234567803;550e8400-e29b-41d4-a716-446655440025;true;expert;1.0
g1b2c3d4-e5f6-7890-abcd-ef1234567811;f1b2c3d4-e5f6-7890-abcd-ef1234567803;550e8400-e29b-41d4-a716-446655440026;true;advanced;0.9
g1b2c3d4-e5f6-7890-abcd-ef1234567812;f1b2c3d4-e5f6-7890-abcd-ef1234567803;550e8400-e29b-41d4-a716-446655440030;true;advanced;0.8
g1b2c3d4-e5f6-7890-abcd-ef1234567813;f1b2c3d4-e5f6-7890-abcd-ef1234567803;550e8400-e29b-41d4-a716-446655440029;true;advanced;0.8
g1b2c3d4-e5f6-7890-abcd-ef1234567814;f1b2c3d4-e5f6-7890-abcd-ef1234567804;550e8400-e29b-41d4-a716-446655440030;true;advanced;1.0
g1b2c3d4-e5f6-7890-abcd-ef1234567815;f1b2c3d4-e5f6-7890-abcd-ef1234567804;550e8400-e29b-41d4-a716-446655440029;true;advanced;0.9
g1b2c3d4-e5f6-7890-abcd-ef1234567816;f1b2c3d4-e5f6-7890-abcd-ef1234567804;550e8400-e29b-41d4-a716-446655440031;true;intermediate;0.8
g1b2c3d4-e5f6-7890-abcd-ef1234567817;f1b2c3d4-e5f6-7890-abcd-ef1234567805;550e8400-e29b-41d4-a716-446655440041;true;advanced;1.0
g1b2c3d4-e5f6-7890-abcd-ef1234567818;f1b2c3d4-e5f6-7890-abcd-ef1234567805;550e8400-e29b-41d4-a716-446655440042;true;intermediate;0.8
g1b2c3d4-e5f6-7890-abcd-ef1234567819;f1b2c3d4-e5f6-7890-abcd-ef1234567805;550e8400-e29b-41d4-a716-446655440038;false;intermediate;0.6
g1b2c3d4-e5f6-7890-abcd-ef1234567820;f1b2c3d4-e5f6-7890-abcd-ef1234567805;550e8400-e29b-41d4-a716-446655440032;false;beginner;0.5
